"Washington, District of Columbia",Washington
"Washington, Arkansas",Washington
"Washington, Connecticut",Washington
"Washington, Georgia",Washington
"Washington, Illinois",Washington
"Washington Park, Illinois",Washington
"Washington, Indiana",Washington
"Washington, Iowa",Washington
"North Washington, Iowa",Washington
"Washington, Kansas",Washington
"Washington, Kentucky",Washington
"Mount Washington, Kentucky",Washington
"Washington, Louisiana",Washington
"Washington, Maine",Washington
"Washington, Massachusetts",Washington
"Mount Washington, Massachusetts",Washington
"Washington Grove, Maryland",Washington
"Washington, Michigan",Washington
"Washington, Mississippi",Washington
"Washington, Missouri",Washington
"Washington, Nebraska",Washington
"Washington, New Hampshire",Washington
"Washington, New Jersey",Washington
"Port Washington North, New York",Washington
"Washingtonville, New York",Washington
"Washington, North Carolina",Washington
"Washington Park, North Carolina",Washington
"Washington, Ohio",Washington
"Port Washington, Ohio",Washington
"Old Washington, Ohio",Washington
"Washingtonville, Ohio",Washington
"Washington Court House, Ohio",Washington
"Washington, Oklahoma",Washington
"Washington, Pennsylvania",Washington
"Washingtonville, Pennsylvania",Washington
"Washington-on-the-Brazos, Texas",Washington
"Washington, Utah",Washington
"Washington Terrace, Utah",Washington
"Washington, Vermont",Washington
"Washington, Virginia",Washington
"Washington, West Virginia",Washington
"Port Washington, Wisconsin",Washington
"Springfield, Arkansas",Springfield
"Springfield, Colorado",Springfield
"Springfield, Florida",Springfield
"Springfield, Georgia",Springfield
"Springfield, Illinois",Springfield
"Springfield, Kentucky",Springfield
"Springfield, Louisiana",Springfield
"Springfield, Maine",Springfield
"Springfield, Massachusetts",Springfield
"Springfield, Michigan",Springfield
"Springfield, Minnesota",Springfield
"Springfield, Missouri",Springfield
"Springfield, Nebraska",Springfield
"Springfield, New Hampshire",Springfield
"Springfield, New York",Springfield
"Springfield, New Jersey (Burlington County)",Springfield
"Springfield, New Jersey (Union County)",Springfield
"Springfield, Ohio",Springfield
"Springfield, Oregon",Springfield
"Springfield, South Carolina",Springfield
"Springfield, South Dakota",Springfield
"Springfield, Tennessee",Springfield
"Springfield, Vermont",Springfield
"Springfield, Virginia",Springfield
"Springfield, West Virginia",Springfield
"Springfield, Dane County, Wisconsin",Springfield
"Springfield, Wisconsin (Jackson County)",Springfield
"Springfield, Wisconsin (Marquette County)",Springfield
"Springfield, Wisconsin (St. Croix County)",Springfield
"Springfield, Walworth County, Wisconsin",Springfield
"Franklin, Alabama",Franklin
"Franklin, Arkansas",Franklin
"Franklin, Connecticut",Franklin
"Franklin, Georgia",Franklin
"Franklin, Idaho",Franklin
"Franklin, Illinois",Franklin
"Franklin, Indiana",Franklin
"Franklin, Iowa",Franklin
